"company_name","company_url","company_linkedin_url","company_country","company_country_code","company_city","company_industry","company_employee_count","company_founding_year","technologies_count","technologies","jobs_count","jobs_titles","annual_revenue_usd","company_seo_description","company_description","google-cloud-platform_confidence","google-cloud-platform_n_jobs","salesforce-marketing-cloud_confidence","salesforce-marketing-cloud_n_jobs","amazon-web-services_confidence","amazon-web-services_n_jobs","google-drive_confidence","google-drive_n_jobs","onedrive_confidence","onedrive_n_jobs"
"Sinqia","https://seniorsolution.com.br","https://www.linkedin.com/company/sinqia/","Brazil","BR","São Paulo","IT Services and IT Consulting","1779","","531","Google Cloud Platform, Salesforce Marketing Cloud, Amazon Web Services","1568","","","Fazemos o sistema financeiro pulsar!","O setor financeiro é nossa paixão e especialidade há mais de 27 anos. Com um perfil arrojado e inovador, nos tornamos líderes em tecnologia para esse segmento no Brasil, além de uma das empresas que mais crescem no país.

Por cinco vezes, fomos considerados uma das 100 maiores Fintechs do Mundo, de acordo com o International Data Corporation (IDC). Em 2020, passamos a integrar o ISG Provider Lens, uma pesquisa mundial que qualifica empresas de softwares e serviços, sendo uma importante referência para compradores de tecnologia.

Além disso, temos como prioridade o sucesso e o bem-estar de nossos colaboradores. Estamos constantemente criando um ambiente inovador que traga valor às suas vidas e ao mercado. 

Em 2023, realizamos a combinação de negócios com a Evertec, empresa referência em soluções de pagamento na América Latina e no Caribe, sediada em Porto Rico.","medium","94","low","1","high","226","","","",""
"Senior Sistemas","https://senior.com.br","https://www.linkedin.com/company/senior-sistemas/","Brazil","BR","Blumenau","Software Development","3226","1988","363","Google Cloud Platform, Amazon Web Services","2201","","25000000","","Somos a escolha de líderes de mercado! 💚
Os nossos 36 anos de experiência, aliados a mais de 13 mil grupos econômicos, nos torna uma das três maiores companhias de tecnologia do Brasil. 

➡️⚙️ Oferecemos um portfólio completo de soluções para gestão que abrange todas as etapas da cadeia produtiva em setores estratégicos da economia, como: Indústria, Logística, Construção e Agronegócio. 

Entregamos soluções que são o diferencial para empresas que almejam a liderança. Mais do que tecnologia, apoiamos gestores na tomada de decisão, otimização de processos e maximização de resultados, com uso de inteligência artificial, dados e insights estratégicos 💡

Com 11 filiais, 160 canais de distribuição na América Latina e mais de 3 mil colaboradores, crescemos de forma consistente e, em 2024, entramos no seleto grupo de empresas que faturam mais de R$1 bilhão ao ano 🚀

A nossa paixão por tecnologia se une ao nosso compromisso com as pessoas, e isso é refletido em diferentes conquistas: 

👑 Pelo terceiro ano consecutivo, somos uma das melhores empresas para se trabalhar no Brasil, de acordo com o GPTW.  
🏆 Somos uma das 10 grandes empresas brasileiras a receber o troféu Destaque Saúde Emocional 2024, concedido pelo Great People Mental Health, que faz parte do ecossistema Great People & GPTW. 
💼 Fornecemos soluções para 52,5% das empresas premiadas pela GPTW em 2024. 
🤝 40% das mil maiores empresas listadas no anuário Valor 1000 são nossas clientes. 

Somos inquietos, inovadores, cheios de ideias e sempre prontos para a ação! Por isso, nosso propósito é claro: potencializar pessoas e impulsionar negócios.  

Vamos, juntos, impulsionar novos negócios?! ✨
Saiba mais em www.senior.com.br    

É mais que tecnologia. É gestão. É resultado. É liderança. É Senior.","medium","16","","","high","224","","","",""
"banco BV","https://bancobv.com.br","https://www.linkedin.com/company/bancobv/","Brazil","BR","Sao Paulo","Banking","5620","","349","Salesforce Marketing Cloud, Amazon Web Services, Google Cloud Platform","1146","","","Leve para sua Vida","Olá! Somos o banco BV, uma das maiores instituições financeiras da América Latina, com mais de 30 anos de experiência no mercado e o propósito de tornar mais tranquila a vida financeira de pessoas e empresas.  
 
Aqui, acreditamos nas suas conquistas pessoais e realizações de novos negócios. Por isso, oferecemos crédito para financiar um carro, para energia solar, para tirar os planos do papel. 
 
Simples, correto, corajoso, parceiro - esse é o jeito BV de ser. Procuramos soluções práticas que melhorem nosso dia a dia e ajudem nossos clientes. Somos responsáveis, pensando no futuro do negócio e assumindo o resultado de nossas decisões. Jogamos junto, aprendendo sempre e incentivando novas ideias para evoluir. 
 
Buscamos oferecer propostas inovadoras em todos os segmentos que atuamos: veículos, conta, cartões, empréstimos e financiamentos para pessoas físicas, seguros e assistências, soluções personalizadas para Corporate & Investment Banking.    
 
Além disso, nos comprometemos até 2030 a efetuar 100% da compensação de CO2 dos veículos financiados, acelerar a inclusão social interna e mobilizar recursos para fomentar negócios sustentáveis. 
 
banco BV. Leve para a vida.   
www.bv.com.br 
 
#LeveParaASuaCarreira #LeveParaAVida ","high","198","medium","8","medium","69","","","",""
"Porto","https://porto.vc","https://www.linkedin.com/company/porto/","Brazil","BR","Sao Paulo","Insurance","19000","1945","454","Google Cloud Platform, Salesforce Marketing Cloud, Amazon Web Services","1505","","16000000","","A Porto é mais que uma seguradora, é um ecossistema de soluções de serviços de proteção com tecnologia embarcada, para melhorar e facilitar a experiência do cliente. Com mais de 70 anos de mercado, a atuação da companhia se concentra hoje em quatro pilares estratégicos de negócio: Seguros, Saúde, Produtos Financeiros e Serviços. Além de 15.8 milhões de clientes únicos, 13 mil funcionários, 12 mil prestadores e 35 mil corretores parceiros, a empresa conta ainda com 101 sucursais e escritórios regionais em todo o Brasil. Ao todo 27 empresas fazem parte do universo Porto – entre elas: Porto Bank, Porto Saúde, Porto Seguro, Porto Serviço, Porto Seguro Uruguai, Azul Seguros, Itaú Seguros de Auto e Residência. ","medium","106","medium","6","high","178","","","",""
"Zallpy Digital","https://zallpy.com","https://www.linkedin.com/company/zallpy-digital/","Brazil","BR","Porto Alegre","IT Services and IT Consulting","536","2009","489","Google Cloud Platform, Amazon Web Services","666","","","Innovative, Zallpy Digital assists in the optimization of processes, reduction of costs and improvement of products and services, adding real results for the businesses of your clients.","In today’s competitive landscape, companies and startups are navigating towards operational efficiency and swift market adaptability. Zallpy stands out as a strategic partner that elevates your software development journey with unmatched expertise and smart resource allocation. Our commitment to excellence ensures you gain access to top-tier tech talent and innovative solutions that drive your business forward.

Strategic Nearshore Partner:
Nestled in the tech-savvy hubs of Brazil, Zallpy is your gateway to a pool of exceptional talent and cutting-edge solutions. We offer the synchronicity of shared time zones and cultural affinities, providing the fluidity and responsiveness your projects deserve.

Seamless Cultural Fit:
It's the seamless integration of our team with yours that sets us apart. Zallpy's professionals are not only tech-savvy but also culturally atuned, ensuring that our collaborative efforts resonate deeply with your business objectives.

Scalable Expertise for Fortune 500 Projects:
Zallpy excels in scaling teams for large-scale, high-stakes projects, matching the needs of Fortune 500 companies. Our technical acumen is rooted in a deep understanding of complex IT challenges, enabling us to deliver cost-effective solutions without compromising on quality.","medium","56","","","high","175","","","",""
"PicPay","https://picpay.com","https://www.linkedin.com/company/picpay/","Brazil","BR","São Paulo","Financial Services","5927","2012","350","Salesforce Marketing Cloud, Google Cloud Platform, Amazon Web Services","723","","150000000","Abra sua conta digital grátis no PicPay e faça seu dinheiro render com o maior rendimento CDI do Brasil, tudo em um só app.","Com mais de dez anos de história, o PicPay oferece um portfólio completo e seguro de serviços financeiros para facilitar a relação com dinheiro e ser a principal conta do dia a dia das pessoas e seus negócios. A companhia atua em cinco frentes de negócios: Serviços Financeiros para Pessoa Física, Serviços Financeiros para Pessoa Jurídica, PicPay Store, Cripto e Investimentos. Fundada em Vitória (ES), a empresa já conta com mais de 30 milhões de usuários ativos.
","low","9","low","1","high","163","","","",""
"UDS Tecnologia","https://uds.com.br","http://www.linkedin.com/company/udstecnologia","Brazil","BR","Maringá","IT Services and IT Consulting","170","2003","618","Google Cloud Platform, Amazon Web Services","647","","5000000","Especialistas em Desenvolvimento de Software personalizado para empresas. Escolhida por Calvin Klein, DHL, C&A e outras. Saiba mais.","A UDS é especialista em desenvolver softwares web e aplicativos personalizados com Squads ágeis. Também se destaca pela alocação e recrutamento especializado de profissionais de tecnologia. 
 
Atende marcas como Calvin Klein, DHL, C&A, Madero, SKY, Correios, Yamaha e outras. 
 
Foi reconhecida entre as três melhores desenvolvedoras de aplicativos da América Latina e detém certificação PCI-DSS. 
 
É a primeira de seu setor na Global Data Alliance junto a companhias como Panasonic, Visa, Pfizer e American Express.","medium","41","","","high","153","","","",""
"Banco PAN","https://bancopan.com.br","https://www.linkedin.com/company/banco-pan/","Brazil","BR","São Paulo","Banking","4607","","218","Google Cloud Platform, Amazon Web Services, Salesforce Marketing Cloud","332","","","Para, pensa e PAN 🟦","Missão

Ser um banco sustentável que inspire os Colaboradores a surpreender os clientes. 


Visão

O banco ágil e descomplicado, que surpreende.
 
 
Valores

1. Surpreenda pelo serviço.

2. Construa relacionamentos verdadeiros e de longo prazo.

3. Aja com ética, humildade e transparência.

4. Pratique a meritocracia. Valorize os talentos.

5. Seja positivo, apaixonado e determinado.

6. Abrace e estimule a mudança. Seja criativo.

7. Busque o crescimento e o aprendizado.

8. Comunique-se de forma clara, objetiva e responsável.

9. Faça mais com menos.

10. Pense como dono!


O PAN em números: 
 
+ de 3.500 profissionais;
 
+ de 100 pontos de venda;
 
+ de 1.300 parceiros imobiliários;
 
+ de 1.300 correspondentes;
 
+ de 9.750 concessionárias e revendedoras;
 
+ de 3.000.000 clientes ativos;
 
+ de 1,7 milhão de cartões de crédito emitidos.","low","7","high","8","high","150","","","",""
"TOTVS","https://totvs.com","https://www.linkedin.com/company/totvs/","Brazil","BR","Sao Paulo","Software Development","13539","1983","492","Amazon Web Services, Google Cloud Platform, Google Drive","2828","","623558000","Localizada em importantes cidades do interior paulista, a TOTVS Interior Paulista e Triângulo Mineiro se dedica a levar tecnologia para as empresas da região.","Olá, somos a TOTVS! A maior empresa de tecnologia do Brasil. 🤓

Quando se trata de sistemas e plataformas para empresas, somos líderes absolutos, com mais de 70 mil clientes. Vamos muito além do ERP, oferecendo tecnologia completa para digitalização dos negócios com um portfólio baseado em 3 dimensões:

- Gestão, com sistemas para automatizar processos das atividades fim e todo backoffice das operações dos nossos clientes 💻
 - Techfin, com serviços financeiros personalizados que podem ser contratados por meio dos nossos sistemas 💸
 - Business Performance, com soluções para as empresas venderem mais e crescerem 🚀 

Nos últimos 5 anos, investimos aproximadamente R$ 3 bilhões em pesquisa e desenvolvimento para atender, de maneira cada vez mais especializada, empresas de 12 segmentos da economia.

Somos o trusted advisor dos nossos clientes e uma potência tecnológica que apoia a evolução de empresas de norte a sul do país. O Brasil, que faz, faz com TOTVS.","medium","94","","","medium","149","high","89","",""
"A3Data","https://a3data.com.br","http://www.linkedin.com/company/a3-data-consultoria","Brazil","BR","Belo Horizonte","Professional Services","170","2012","202","Google Cloud Platform, Amazon Web Services","190","","","","Desenvolvemos soluções tecnológicas e de inteligência de dados aplicadas ao negócio e ao desenvolvimento das pessoas. 

A nossa essência é estruturar e acelerar a implantação da cultura data driven nas organizações.

O nosso propósito é empoderar as pessoas por meio dos dados.","medium","51","","","high","142","","","",""
"iFood","https://ifood.com.br","https://www.linkedin.com/company/ifood-/","Brazil","BR","Osasco","Software Development","13000","2011","383","Google Cloud Platform, Salesforce Marketing Cloud, Amazon Web Services","1766","","240000000","","O iFood é uma empresa brasileira de tecnologia, que aproxima clientes, restaurantes e entregadores de forma simples e prática.  O iFood tem o propósito de alimentar o futuro do Brasil e do mundo, transformando a sociedade por meio da educação e da tecnologia, da segurança alimentar, da inclusão e com um impacto socioambiental positivo.
Com mais de 80 milhões de pedidos mensais, o iFood atua com inteligência de negócio e soluções de gestão para promover e desenvolver um ecossistema de mais de 330 mil estabelecimentos cadastrados, 250 mil entregadores conectados em mais de 1700 cidades em todo o Brasil.  Há 12 anos no mercado, a empresa vai além do food delivery e cresce também em negócios de Mercado, iFood Pago, unindo tecnologia e conveniência na entrega de soluções aos parceiros.
Para mais informações sobre o iFood, suas novidades e a nossa fome de alimentar o mundo, acesse: https://www.news.ifood.com.br/","medium","25","high","28","high","141","","","",""
"PagBank","https://uol.com.br","https://www.linkedin.com/company/pagbank/","Brazil","BR","São Paulo","Financial Services","8744","1996","353","Google Cloud Platform, Amazon Web Services","707","","2894000","Siga a Folha e fique informado sobre tudo o que acontece no Brasil e no mundo. Notícias sobre política, economia, cultura, esporte, entretenimento e mais.","PagSeguro fosters innovative solutions in financial services and means of payment, automating the purchase, sale and wiring process in order to leverage business for any individual or legal entity, in a simple and secure manner. As a company owned by the Folha/UOL Group – the Brazilian internet leader – PagSeguro operates as an issuer, acquirer and offers digital accounts, besides providing complete solutions for online and face-to-face payments (for mobile devices and POS devices). PagSeguro also offers a wide variety of means of payment, such as credit, debit and meal cards, as well as bank wiring, billet payments, account balance check, among others. The company is regulated by the Central Bank of Brazil as an electronic money issuing institution and acquirer, and has partnerships with the main card brands. Its parent company, PagSeguro Digital, is publicly traded in the United States (NYSE: PAGS) and regulated by the SEC (Securities and Exchange Commission).  ","medium","22","","","high","140","","","",""
"ília","https://ilia.digital","https://www.linkedin.com/company/ilia-digital/","Brazil","BR","São Paulo","IT Services and IT Consulting","438","2011","398","Google Cloud Platform, Amazon Web Services, Salesforce Marketing Cloud","565","","100000000","Find clean makeup and cosmetics at ILIA Beauty. ILIA Beauty offers clean makeup that makes your skin look &amp; feel alive. Shop now!","We specialize in creating digital products that transform our clients' journeys, delivering consistent results through Technology, Design, and Data. 

By offering high-impact solutions for large companies in financial services, insurance, and mobility, we help them turn challenges into opportunities for growth and innovation.

We develop complete digital solutions, from discovery through ongoing support, with agility and precision. Guided by our value@speed philosophy, we deliver fast, high-value results.
Partnering with platforms like Salesforce, Genesys, and AWS, we provide integrated solutions that enhance user experience, operational efficiency, and scalability. 

Our collaborative team, driven by uncomplicated innovation, collaborates closely with clients to simplify interactions between people, products, and services, fostering strategic and sustainable growth.
","medium","36","high","9","high","133","","","",""
"Taking","https://taking.com.br","http://www.linkedin.com/company/taking","Brazil","BR","São Paulo","Professional Services","290","1995","470","Google Cloud Platform, OneDrive, Amazon Web Services","695","","","Apoiamos empresas por meio da aceleração digital. Nossa atuação é estruturada no tripé pessoas, processos e tecnologia, com foco em promover alta performance para empresas.","Somos uma aceleradora digital especializada em compreender as necessidades das organizações, tanto no âmbito do negócio como nas questões técnicas de TI, proporcionando o equilíbrio perfeito entre tecnologia e humanização.

Por isso, a Taking apoia empresas na aceleração digital baseada no tripé pessoas, processos e tecnologias, porque entendemos que não existe tecnologia sem processos e nem processos sem pessoas. Acreditamos que valores como empatia e comprometimento, por meio do pensamento voltado para a inovação, permitem inspirar pessoas e colaborar na construção do caminho para um futuro melhor.

Nosso ecossistema tem contribuído, nos últimos 27 anos, com milhares de pessoas, inspirando-as, e soma mais de 151 mil horas de serviço prestados por mês, mais de 236 clientes ativos, cerca de 952 colaboradores e mais de 60 empresas parceiras.

Em 2022, nos unimos à InfoA2, empresa que se consolidou no mercado de projetos e aplicativos, sendo a primeira parceira Oracle a realizar a implementação do ERP Cloud no Brasil. 

Estamos preparados para um futuro com você ao nosso lado.

Vamos juntos?","medium","50","","","high","126","","","medium","3"
"Nubank","https://nubank.com.br","https://www.linkedin.com/company/nubank/","Brazil","BR","São Paulo","Financial Services","10338","2013","322","Google Cloud Platform, Amazon Web Services","926","","737100000","Você finalmente no controle do seu dinheiro. Controle total do cartão de crédito e da conta 100% digital","Nu was born in 2013 with the mission to fight complexity to empower people in their daily lives by reinventing financial services.

We are one of the world’s largest digital banking platforms, serving more than 100 million customers across Brazil, Mexico, and Colombia. 

As one of the leading technology companies in the world, Nu leverages proprietary technologies and innovative business practices to create new financial solutions and experiences for individuals and SMEs that are simple, intuitive, convenient, low-cost, empowering, and human. 

Guided by its mission, Nu is fostering access to financial services across Latin America.","medium","11","","","high","120","","","",""
"Lity","https://lity.com.br","http://www.linkedin.com/company/lity","Brazil","BR","Uberlândia","IT Services and IT Consulting","3","","344","Google Cloud Platform, Amazon Web Services","610","","","","","medium","41","","","high","118","","","",""
"Alest Consultoria","https://alest.com.br","http://www.linkedin.com/company/alest-consultoria","Brazil","BR","São Paulo","IT Services and IT Consulting","110","2011","50","Amazon Web Services, Google Cloud Platform","183","","","Alest é uma Consultoria Especializada em Transformação Digital. Inove seu Canal de Atendimento, Otimize seus Processos e Inicie já sua Jornada Para a Nuvem!","Alest Consultoria, was founded in 2011. We are proud to say that we operate with excellence throughout the national territory, committing ourselves to plan, conduct and act directly in the digital transformation of small, medium and large Brazilian organizations. We value, above all, our customer satisfaction. Our goal is clear: to make work simpler, more innovative and collaborative. Thinking further, Alest brings creativity, collaboration and the entrepreneurial spirit to IT, Support, HR and Marketing!","high","115","","","low","4","","","",""
